Fragilidad ecosistémica,Estado de conservación y salud de los ecosistemas y su capacidad de resiliencia.,0.405,,
Vulnerabilidad hídrica,"Vulnerabilidad del recurso hídríco ante agentes externos como contaminación, intrusión salina, sobreexplotación.",0.396,,
Fragilidad kárstica,"Vulnerabilidad del suelo de ser afectado por alguna actividad del hombre o por sus efectos, como la erosión. Vulnerabilidad de los ecosistemas kársticos derivada de su nivel de desarrollo y fragilidad ante impactos externos.",0.198,,
,,,,
,,,,
Soporte,,,,
Atributos,Definición,Peso,,
Zonas de recarga,Zonas de recarga de acuífero.,0.440,,
Cobertura forestal,Tipo de cobertura forestal como indicador de productividad primaria.,0.329,,
Riqueza forestal,Número de taxones como indicador de productividad primaria.,0.148,,
Biomasa aérea,Biomasa vegetal arbórea,0.083,,
,,,,
,,,,
Regulación,,,,
Atributos,Definición,Peso,,
Cobertura,Tipo de vegetación como indicador de productividad primaria.,0.625,,
Captura de carbono,Captura de carbono como indicador de calidad del aire.,0.281,,
Especies melíferas,Concentración de especies melíferas como indicador del servicio ambiental de regulación de polinización.,0.094,,
,,,,
,,,,
Provisión,,,,
Atributos,Definición,Peso,,
Cobertura,"Vegetación con posible uso o consumo, ya sea directamente o con previo procesamiento",0.595,,
Cuerpos de agua,Presencia de cuerpos de agua no considerados en la capa de cobertura.,0.204,,
Parientes silvestres de cultivo,"Frecuencia de las siete especies publicadas por CONABIO que se distribuyen potencialmente en menos del 50% del estado. A las áreas de distribución se le eliminaron las áreas de agricultura de riego, los asentamientos humanos y cuerpos de agua.",0.201,,
,,,,
,,,,
Culturales,,,,
Atributos,Definición,Peso,,
Biofísico y social,Atributos biofísicos y sociales relacionados con los servicios ambientales culturales.,0.750,,
Administrativo,Atributos administrativos y de gestión relacionados con los servicios ambientales culturales.,0.250,,
,,,,
,,,,
Biofísicos y sociales,,,,
Atributos,Definición,Peso,,
Cenotes y grutas,"Presencia de cenotes y grutas (Cavidades que se forman de manera natural en la tierra o roca, por erosión que provoca la disolución de rocas calcáreas).",0.333,,
Población indígena,Porcentaje de la población municipal de 3 años y más que son mayahablantes.,0.333,,
Zonas arqueológicas,Presencia de sitios arqueológicos (lugares con vestigios de civilizaciones o culturas antiguas).,0.333,,
,,,,
,,,,
Administrativo,,,,
Atributos,Definición,Peso,,
ANP bioculturales,"Presencia de áreas naturales protegidas con enfoque biocultural (Puuc, Kabáh y Tabí)",0.290,,
ADVC,Presencia de Áreas Destinadas Voluntariamente a la Conservación (ADVC).,0.260,,
Áreas de uso común,Presencia de áreas ejidales de uso común.,0.183,,
UMA,Presencia de Unidades de Manejo Ambiental (UMA),0.136,,
PSA,Presencia de proyectos de pago por servicios ambientales.,0.131,,
,,,,
,,,,
,,,,
,,,,
Fragilidad ecosistémica,,,,
Atributos,Definición,Peso,,
Integridad ecológica,Índice de Integridad ecológica.,,,
Degradación ecológica,Índice de degradación ecológica.,,,
Distancia a ANP y sitios Ramsar,"Distancia con ANP, incluye las ANP",,,
AICAS,Presencia de AICAS fuera de ANP y sitios RAMSAR.,,,
,,,,
,,,,
,,,,
,,,,
Vulnerabilidad hídrica,,,,
Atributos,Definición,Peso,,
Vulnerabilidad intrínseca,Vulnerabilidad intrínseca a la contaminación del acuífero kárstico.,,,
Cenotes,Presencia de cenotes.,,,
Humedales,"Presencia de cuerpos de agua, excluye cenotes y estanques artificiales.",,,
Reforestación,"Zonas cuyo uso de suelo cambió en los últimos 15 años, potenciales a ser reforestadas.",,,
Zonas de recarga,Zonas de recarga de acuífero.,,,
,,,,
,,,,
,,,,
Fragilidad kárstica,,,,
Atributos,Definición,Peso,,
Cenotes,Presencia de cenotes,,,
Densidad de dolinas,Número de dolinas por hectárea,,,
